Nation,Tier,FileName
England,0,E0
England,1,E1
England,2,E2
England,3,E3
England,4,EC
Germany,0,D1
Germany,1,D2
Italy,0,I1
Italy,1,I2
Spain,0,SP1
Spain,1,SP2
France,0,F1
France,1,F2
