Nation,Tier,StartYear,EndYear,Name
England,0,2007,,Premier League
England,0,,2007,Premiership
England,1,2004,,Championship
England,1,,2004,First Division
England,2,2004,,League One
England,2,,2004,Second Division
England,3,2004,,League Two
England,3,,2004,Third Division
